Paths,Accumulated Latency [s],Accumulated Noise [W],Accumulated SNR [dB]
B->E->C->A->F,0.008609641086453386,1.061147e-05,20.11236181143869
B->E->D->F,0.007123050700938504,5.934872e-06,16.461635091339
B->C->E->A->F,0.009415321521034123,1.307109e-05,19.81643696120326
B->C->E->F,0.0054301791832452075,5.734138e-06,13.136802330109825
B->C->E->D->F,0.00793807839189728,1.600595e-05,20.87372613077665
B->C->A->F,0.008076727428354274,6.933438e-06,13.239837882550727
B->C->A->E->F,0.008627668087711685,9.241896e-06,20.3941026425751
B->C->A->E->D->F,0.011135567296363757,1.097448e-05,13.182469685491977
B->F,0.0017469120501759669,1.334189e-06,21.98125356990033
C->B->A,0.004920549532071539,4.852717e-06,22.67104060743347
C->B->E->A,0.006290117886791805,5.830979e-06,14.966574825499867
C->B->E->F->A,0.011088460840218447,1.056998e-05,19.342318771440777
C->B->E->D->F->A,0.013596360048870519,1.318946e-05,9.484732752097472
C->B->F->A,0.008220221398107982,6.933438e-06,13.239837882550727
C->B->F->D->E->A,0.011279061266117465,1.067365e-05,13.303182583962656
C->B->F->E->A,0.008771162057465393,9.596932e-06,20.736400249228083
C->E->A,0.0029420121731021072,2.572204e-06,23.942727578418307
C->E->F->A,0.007740355126528748,5.477021e-06,16.77582334789118
C->E->F->B->A,0.00793450736084424,6.374781e-06,18.974293451034782
C->E->B->A,0.005453463190170651,4.378111e-06,17.696231272669245
C->E->B->F->A,0.008753135056207093,6.695626e-06,18.8132032866508
C->E->D->F->A,0.01024825433518082,7.422101e-06,17.403525891096386
C->E->D->F->B->A,0.010442406569496313,8.161185e-06,15.953887001489157
C->A,0.0016034180804222584,1.334189e-06,21.98125356990033
C->B,0.0020815667023242374,1.554495e-06,21.012815104098927
C->E->A->F->B,0.009080666868885852,7.291951e-06,20.696728116005147
C->E->A->B,0.00578099500284941,4.595894e-06,17.790117658657117
C->E->F->A->B,0.01057933795627605,8.022744e-06,19.255101726289382
C->E->F->B,0.005095524531096937,4.157843e-06,19.25197137624229
C->E->B,0.002614480360423349,2.361688e-06,24.618274199010862
C->E->D->F->A->B,0.013087237164928123,9.553443e-06,16.549204701814443
C->E->D->F->B,0.00760342373974901,6.115478e-06,19.523874673581098
C->A->F->B,0.007742072776206003,6.362012e-06,16.476867192558892
C->A->F->D->E->B,0.013118211426968538,1.037552e-05,15.315035311184426
