Paths,Accumulated Latency [s],Accumulated Noise [W],Accumulated SNR [dB]
E->B->F->A,0.008079164381678149,6.642560e-06,13.502818458207976
E->C->B->A,0.005594520206600484,4.656065e-06,17.505757513117423
E->C->B->F->A,0.008894192072636926,6.957001e-06,18.342175530632563
E->C->A,0.0022773887549512027,2.423578e-06,24.50592924002134
E->D->F->A,0.009574283660651876,8.773080e-06,11.332331518610282
E->D->F->B->A,0.009768435894967368,1.185555e-05,19.449274133451006
E->D->F->B->C->A,0.01061443784796656,1.283431e-05,11.264230133941165
E->A->C->B,0.005953026281319659,6.069698e-06,14.564448890286227
E->A->F->B,0.008406696194356907,7.036113e-06,15.506895211398389
E->A->B,0.005107024328320465,5.076516e-06,22.475232621977156
E->F->A->C->B,0.010751369234746299,9.866170e-06,19.032134921432444
E->F->A->B,0.009905367281747107,8.198444e-06,13.816074496758347
E->F->B,0.004421553856567993,5.050562e-06,23.524327296204778
E->B,0.0019405096858944046,1.334189e-06,21.753383674000887
E->C->B,0.0027555373768531817,2.632374e-06,23.842304186911676
E->C->A->F->B,0.008416043450734947,7.452821e-06,20.906677846766883
E->C->A->B,0.005116371584698505,4.440001e-06,17.407398273549283
E->D->F->A->C->B,0.013259268443398371,1.789035e-05,7.932944454304095
E->D->F->A->B,0.012413266490399179,1.661531e-05,19.26279244362451
E->D->F->B,0.006929453065220066,7.449974e-06,13.321688936080227
E->A->C,0.0038714595789954213,4.517157e-06,23.756067236198632
E->A->F->B->C,0.010488262896681144,9.238798e-06,19.064460920666846
E->A->B->C,0.007188591030644703,6.634951e-06,14.951571645307098
E->F->A->C,0.008669802532422062,7.537733e-06,14.9548101827943
E->F->A->B->C,0.011986933984071343,1.108107e-05,19.301631146857332
E->F->B->A->C,0.008863954766737554,1.169786e-05,20.65048915810411
E->F->B->C,0.0065031205588922305,6.601766e-06,13.946513158121611
E->B->A->C,0.006382910596063966,5.906208e-06,16.066298993554366
E->B->C,0.004022076388218642,4.169446e-06,23.4944979033136
E->B->F->A->C,0.009682582462100407,1.117978e-05,20.795050827343594
E->C,0.0006739706745289442,6.750362e-07,26.361787306383565
E->D->F->A->C,0.011177701741074134,1.634396e-05,20.10813171573105
E->D->F->A->B->C,0.014494833192723416,1.816324e-05,8.641028313055642
E->D->F->B->A->C,0.011371853975389626,1.318845e-05,11.615128840314306
E->D->F->B->C,0.009011019767544303,1.150399e-05,20.049117720042947
