Paths,1,2,3,4,5,6,7,8,9,10
F->D->E->C,0,0,0,1,1,1,1,1,1,0
F->E->A->C,0,0,0,1,1,1,1,1,1,1
F->E->A->B->C,0,0,0,1,1,1,1,1,1,1
F->E->B->A->C,0,1,0,1,1,1,1,1,1,1
F->E->B->C,0,1,0,1,1,1,1,1,1,1
F->E->C,0,0,0,1,1,1,1,1,1,1
F->A->C->B->E->D,0,0,1,1,1,1,1,1,1,1
F->A->C->E->D,0,0,0,1,1,1,1,1,1,1
F->A->B->E->D,0,0,1,1,1,1,1,1,1,1
F->A->B->C->E->D,0,0,0,1,1,1,1,1,1,1
F->A->E->D,0,0,1,1,1,1,1,1,1,0
F->B->A->C->E->D,0,0,0,1,1,1,1,1,1,1
F->B->A->E->D,0,0,1,1,1,1,1,1,1,0
F->B->E->D,0,0,1,1,1,1,1,1,1,1
F->B->C->E->D,0,0,0,1,1,1,1,1,1,1
F->B->C->A->E->D,0,0,1,1,1,1,1,1,1,0
F->D,0,0,1,1,1,1,1,1,1,1
F->E->D,0,0,0,1,1,1,1,1,1,1
F->A->C->B->E,0,1,1,1,1,1,1,1,1,1
F->A->C->E,0,0,0,1,1,1,1,1,1,1
F->A->B->E,0,1,1,1,1,1,1,1,1,1
F->A->B->C->E,0,0,0,1,1,1,1,1,1,1
F->A->E,0,0,1,1,1,1,1,1,1,1
F->B->A->C->E,0,0,0,1,1,1,1,1,1,1
F->B->A->E,0,0,1,1,1,1,1,1,1,1
F->B->E,0,0,1,1,1,1,1,1,1,1
